,Status,Beds,Baths,SQFT,Acres,Price,Address,City
0,For Sale,3,2,"2,081",0.53,"$250,000",8234 Bertson Pl,Columbus
1,For Sale,4,2.5,"2,229","7,841","$220,000",7448 Gardenview Pl,Dublin
2,For Sale,5,3.5,"3,947",0.43,"$849,900",234 S Harding Rd,Columbus
3,Coming Soon,4,1.5,"2,221",0.28,"$375,000","2264 Saberly Ct, ","Dublin, OH 43016"
4,Coming Soon,3,2,"1,350",0.74,"$400,000","2611 Bethel Rd, ","Columbus, OH 43220"
5,Coming Soon,3,2,"1,176","8,712","$379,900",1119 Sunny Hill Dr,Columbus
6,Coming Soon,3,2,"2,067","7,405","$525,000",1339 Durness Ct,Columbus
7,Coming Soon,3,1,"2,054","5,227","$400,000",255 Stewart Ave,Columbus
8,Coming Soon,3,2,"1,758",0.34,"$392,000",5066 Francisco Pl,Columbus
9,Coming Soon,3,1,"1,120",0.23,"$215,000",2635 Brownfield Rd,Columbus
10,Coming Soon,3,2.5,"1,278","4,356","$414,900",1276 N 5th St,Columbus
11,Coming Soon,3,1.5,"1,654","9,148","$254,900",2023 Sharbot Dr,Columbus
12,Coming Soon,3,3.5,"2,213","1,307","$499,900",146 N Monroe Ave,Columbus
13,Coming Soon,3,1,"1,216","8,276","$250,000",133 Hardman Dr,Galloway
14,Coming Soon,2,1.5,"1,557","2,614","$519,500",848 S 3rd St,Columbus
15,Coming Soon,3,1.5,"1,484","6,970","$299,999",6933 Kinston Dr,Canal Winchester
16,Coming Soon,3,1.5,"1,360","4,356","$360,000",482 E Tulane Rd,Columbus
17,Coming Soon,3,1.5,"1,654","4,792","$259,999",2582 Medora Dr,Grove City
18,Coming Soon,3,2.5,"2,476","8,276","$375,000",2097 Smokymill Rd,Dublin
19,Coming Soon,3,1.5,"1,160","6,098","$198,900",3462 Seabrook Ave,Columbus
20,Coming Soon,5,2.5,"2,745","5,663","$449,900",1548 Hawthorne Ave,Columbus
21,Coming Soon,2,2,"1,792","2,178","$479,900",5336 Larceny Dr Unit 59,Westerville
22,Coming Soon,2,2.5,"1,616",871,"$288,000",7180 Billy Goat Dr Unit 49-718,New Albany
23,Coming Soon,2,2.5,"1,280",871,"$184,900",6739 Axtel Dr Unit 11B,Canal Winchester
24,Coming Soon,2,2.5,"1,280",436,"$304,900",5547 Rainbow Falls St,Dublin
25,Coming Soon,2,2.5,"1,224","1,307","$215,000",360 Dysar Run Dr Unit 25-360,Blacklick
26,Coming Soon,2,1.5,"1,280","1,307","$164,900",6772 Hamler Dr Unit 25B,Canal Winchester
27,Coming Soon,2,1,840,"1,307","$147,500",4298 Wincove Dr,Groveport
28,Coming Soon,3,3,"3,321",0.39,"$925,000",1800 Cambridge Blvd,Upper Arlington
29,Coming Soon,,,,,"$185,000",161-163 S 18th St,Columbus
30,For Sale,3,2,"1,304",0.23,"$240,000",562 Arden St,Lewis Center
31,Contingent,3,2,"1,260","5,227","$334,900",373 E Lincoln Ave,Columbus
32,For Sale,4,1.5,"1,300",0.37,"$40,503",3856 Hendron Rd,Groveport
33,Contingent,2,2,"1,056",0.23,"$159,900",419 Maplewood Ave,Columbus
34,For Sale,3,2,"1,650","5,663","$300,000",6070 Wexford Park Dr,Columbus
35,Coming Soon,3,1.5,"1,567","5,227","$169,900",3995 Sexton Dr,Columbus
36,For Sale,3,2,"1,481","1,742","$279,900",4774 Powderhorn Ln Unit 1,Columbus
37,Contingent,2,2,"1,856","1,307","$275,000",3971 Kensingwood Dr,Columbus
38,Coming Soon,3,3.5,"3,595",0.57,"$899,900",2707 Lear Rd,Upper Arlington
39,Contingent,3,2.5,"1,756",871,"$250,000",2638 Rustling Oak Blvd,Hilliard
40,Contingent,3,2,"2,373",0.48,"$479,999",863 Gatehouse Ln,Columbus
41,For Sale,3,2,"1,296",,"$59,000",763 Sunset Blvd,Columbus
42,For Sale,5,3,"2,600",,Contact For Price,"Henley Plan, Renner Park Community","COLUMBUS, OH"
43,Contingent,4,2.5,"2,316",0.44,"$349,900","899 Cove Point Dr, ","Columbus, OH 43228"
44,For Sale,3,2,"1,216",,"$62,000","399 Shenandoah Valley Dr, ","Columbus, OH 43207"
45,Coming Soon,3,1.5,"1,284","7,405","$249,999","2026 Queens Meadow Ln, ","Grove City, OH 43123"
